band,start,end
http://dbpedia.org/resource/The_Ark_(Swedish_band),"1991","2011"
http://dbpedia.org/resource/God_Dethroned,"1991","1993"
http://dbpedia.org/resource/Element_Eighty,"1998","1998"
http://dbpedia.org/resource/Strange_Fruit_Project,"2003","2003"
http://dbpedia.org/resource/The_Scream_(band),"1989","1993"
http://dbpedia.org/resource/Return_to_Forever,"1972","1977"
http://dbpedia.org/resource/Turpentine_(band),"2003","2007"
http://dbpedia.org/resource/Ghoti_Hook,"1990","2002"
http://dbpedia.org/resource/Lighthouse_Family,"1993","2003"
http://dbpedia.org/resource/The_Mushroom_River_Band,"1996","2004"
http://dbpedia.org/resource/Toad_the_Wet_Sprocket,"1986","1998"
http://dbpedia.org/resource/Reef_(band),"1993","2003"
http://dbpedia.org/resource/Toy-Box,"1995","2003"
http://dbpedia.org/resource/Gwen_Stacy_(band),"2004","2010"
http://dbpedia.org/resource/Bee_Gees,"1958","2003"
http://dbpedia.org/resource/Bleach_(American_band),"1995","2004"
http://dbpedia.org/resource/Orchestral_Manoeuvres_in_the_Dark,"1978","1996"
http://dbpedia.org/resource/The_77s,"1979","1979"
http://dbpedia.org/resource/Bad_Company,"1973","1982"
http://dbpedia.org/resource/Sylver,"2000","2000"
http://dbpedia.org/resource/The_Hooters,"1980","1995"
http://dbpedia.org/resource/Katatonia,"1991","1994"
http://dbpedia.org/resource/New_Grass_Revival,"1971","1989"
http://dbpedia.org/resource/Run–D.M.C.,"1981","2002"
http://dbpedia.org/resource/The_Corries,"1962","1990"
http://dbpedia.org/resource/People_on_Vacation,"2010","2016"
http://dbpedia.org/resource/The_Kinks,"1963","1996"
http://dbpedia.org/resource/Uniting_Nations,"2004","2008"
http://dbpedia.org/resource/Voice_of_the_Beehive,"1986","1996"
http://dbpedia.org/resource/Living_Things_(band),"2002","2002"
http://dbpedia.org/resource/Slum_Village,"1990","1990"
http://dbpedia.org/resource/Deep_Purple,"1968","1976"
http://dbpedia.org/resource/Danzig_(band),"1987","1987"
http://dbpedia.org/resource/The_Shadows,"1958","1968"
http://dbpedia.org/resource/Dire_Straits,"1977","1988"
http://dbpedia.org/resource/Gladys_Knight_&_the_Pips,"1952","1989"
http://dbpedia.org/resource/Much_the_Same,"1999","1999"
http://dbpedia.org/resource/Living_Colour,"1984","1995"
http://dbpedia.org/resource/Commissioned_(gospel_group),"1984","1984"
http://dbpedia.org/resource/The_Mission_(band),"1986","1996"
http://dbpedia.org/resource/SWV,"1990","1998"
http://dbpedia.org/resource/Hot_Snakes,"1999","2005"
http://dbpedia.org/resource/Quarashi,"1996","2005"
http://dbpedia.org/resource/Th'_Faith_Healers,"1990","1990"
http://dbpedia.org/resource/Gasolin',"1969","1978"
http://dbpedia.org/resource/Massacra,"1986","1997"
http://dbpedia.org/resource/Gene_Loves_Jezebel,"1980","1980"
http://dbpedia.org/resource/The_Blood_Divine,"1995","1995"
http://dbpedia.org/resource/Wrench_in_the_Works,"1999","2010"
http://dbpedia.org/resource/Pulp_(band),"1978","2002"
http://dbpedia.org/resource/Ultravox,"1974","1987"
http://dbpedia.org/resource/West_Indian_Girl,"2004","2004"
http://dbpedia.org/resource/James_(band),"1982","2001"
http://dbpedia.org/resource/Neaera_(band),"2003","2015"
http://dbpedia.org/resource/Rollins_Band,"1987","1997"
http://dbpedia.org/resource/1910_Fruitgum_Company,"1965","1965"
http://dbpedia.org/resource/Walt_Mink,"1989","1997"
http://dbpedia.org/resource/Big_Trouble_(band),"1987","1988"
http://dbpedia.org/resource/Jupiter_Rising,"2005","2010"
http://dbpedia.org/resource/Bel_Canto_(band),<html>
