bands,artists,isActive,exitCount
481,4735,0.0,1.0
481,7531,1.0,0.0
481,8431,1.0,0.0
481,8990,1.0,0.0
481,9095,0.0,1.0
481,9214,0.0,1.0
481,9949,1.0,0.0
482,1277,1.0,0.0
482,1284,1.0,0.0
482,3907,1.0,0.0
482,4707,1.0,0.0
482,6574,0.0,1.0
482,7603,1.0,0.0
483,5215,0.0,1.0
483,6106,1.0,0.0
483,7430,1.0,0.0
483,10840,1.0,0.0
483,11060,0.0,1.0
484,838,1.0,0.0
484,1807,1.0,0.0
484,2324,1.0,0.0
485,9929,1.0,0.0
485,11415,1.0,0.0
486,2692,1.0,0.0
486,3247,1.0,0.0
486,3443,1.0,0.0
486,5389,1.0,0.0
486,9165,1.0,0.0
487,421,1.0,0.0
487,5640,1.0,0.0
487,7575,0.0,1.0
488,4036,1.0,0.0
488,8938,1.0,0.0
488,9865,1.0,0.0
488,10357,1.0,0.0
490,7389,0.0,1.0
492,1453,0.0,1.0
492,1466,0.0,1.0
492,2094,0.0,1.0
492,5299,0.0,1.0
492,8291,0.0,1.0
492,9577,0.0,1.0
493,2413,0.0,1.0
493,4480,0.0,1.0
493,5693,0.0,2.0
494,8250,0.0,1.0
494,9375,0.0,1.0
494,9438,0.0,1.0
495,82,1.0,0.0
495,4182,0.0,1.0
495,4929,1.0,0.0
495,5216,1.0,0.0
495,5829,1.0,0.0
495,7595,1.0,0.0
495,8522,0.0,1.0
495,10849,0.0,1.0
496,4621,1.0,0.0
498,546,0.0,1.0
498,1104,0.0,1.0
498,2444,0.0,1.0
498,4263,0.0,1.0
498,5028,0.0,1.0
498,5304,0.0,1.0
498,7509,0.0,1.0
498,8544,0.0,1.0
498,8891,0.0,1.0
499,2719,1.0,0.0
499,5093,1.0,0.0
499,8399,1.0,0.0
500,6893,0.0,1.0
501,3354,1.0,0.0
501,6533,1.0,0.0
502,129,1.0,0.0
502,1591,0.0,1.0
502,1879,0.0,1.0
503,3205,0.0,2.0
503,4313,0.0,1.0
503,4397,0.0,2.0
504,2594,0.0,1.0
504,2928,1.0,0.0
504,3801,0.0,1.0
504,4264,1.0,0.0
